Opentime,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1700784000000,37294.27000000,37494.57000000,37251.51000000,37315.65000000,2460.68333000,1700798399999,92002831.76045470,126720,1223.15347000,45738398.92543670,0
1700798400000,37315.64000000,37567.99000000,37300.39000000,37522.99000000,2717.47733000,1700812799999,101638165.51151770,105570,1272.01405000,47580446.95385850,0
1700812800000,37522.99000000,38035.46000000,37423.90000000,37741.99000000,11102.76664000,1700827199999,418898357.43717450,325961,5923.37851000,223556682.03933790,0
1700827200000,37741.99000000,38414.00000000,37600.00000000,38221.11000000,13063.06947000,1700841599999,495994983.16151750,359326,6582.86839000,250014210.81014560,0
1700841600000,38221.10000000,38349.00000000,37550.32000000,37766.11000000,11475.45047000,1700855999999,434352357.72118660,314828,5619.84067000,212657365.52702860,0
1700856000000,37766.11000000,37943.60000000,37580.00000000,37713.57000000,3861.35922000,1700870399999,145829032.48729710,147009,1727.91727000,65255977.37637510,0
1700870400000,37713.57000000,37839.44000000,37676.03000000,37798.00000000,2373.98986000,1700884799999,89652075.02633770,106405,1113.37994000,42039715.00750640,0
1700884800000,37797.99000000,37826.99000000,37720.00000000,37802.40000000,1474.49322000,1700899199999,55705971.20686250,88175,697.39882000,26346110.49972980,0
1700899200000,37802.40000000,37828.93000000,37591.10000000,37652.51000000,2311.89117000,1700913599999,87155544.69161610,110951,1013.38307000,38202305.35105340,0
1700913600000,37652.51000000,37734.99000000,37620.00000000,37704.38000000,1782.53780000,1700927999999,67173203.36973450,97726,789.16696000,29737290.58208250,0
1700928000000,37704.38000000,37835.39000000,37699.99000000,37819.43000000,1622.06417000,1700942399999,61278267.91651080,81386,753.82625000,28479470.16685660,0
1700942400000,37819.43000000,37888.00000000,37711.76000000,37780.67000000,1831.16842000,1700956799999,69200189.54991330,84805,786.75612000,29731329.67786540,0
1700956800000,37780.67000000,37784.63000000,37662.18000000,37730.38000000,1377.55520000,1700971199999,51969756.12252690,80526,627.58214000,23675291.53704390,0
1700971200000,37730.39000000,37793.67000000,37694.48000000,37789.78000000,1297.87233000,1700985599999,49001972.07269520,69686,603.46455000,22784086.79029890,0
1700985600000,37789.77000000,37814.63000000,37666.80000000,37679.31000000,1757.13236000,1700999999999,66306790.16896550,95569,803.93444000,30337794.19056480,0
1701000000000,37679.30000000,37679.31000000,37287.00000000,37437.11000000,7053.17203000,1701014399999,264302812.86416970,244430,3252.52961000,121865255.19048880,0
1701014400000,37437.11000000,37500.20000000,37150.00000000,37380.07000000,5225.61270000,1701028799999,194810953.42486940,184277,2566.10247000,95664297.67028980,0
1701028800000,37380.07000000,37748.00000000,37320.30000000,37447.43000000,4553.19261000,1701043199999,170928908.93617240,173532,2350.90320000,88244548.66739200,0
1701043200000,37447.42000000,37569.23000000,37200.00000000,37309.25000000,3126.25061000,1701057599999,116873446.58403630,145238,1395.53698000,52166423.10724140,0
1701057600000,37309.26000000,37419.56000000,37051.00000000,37283.19000000,3100.46613000,1701071999999,115582237.73109660,160570,1365.92185000,50928766.17060800,0
1701072000000,37283.20000000,37466.00000000,36900.00000000,37035.95000000,6528.86513000,1701086399999,242793196.46926640,235793,3120.51836000,116065569.54911210,0
1701086400000,37035.95000000,37100.00000000,36715.00000000,36751.02000000,8123.63363000,1701100799999,299870892.72911240,288243,4038.67481000,149081424.56733990,0
1701100800000,36751.01000000,37143.43000000,36707.00000000,36877.00000000,5701.39398000,1701115199999,210773304.56666450,240082,2843.51094000,105125435.19909140,0
1701115200000,36877.00000000,37284.00000000,36792.51000000,37242.70000000,3420.46428000,1701129599999,126664357.19661600,168091,1694.47528000,62761476.97345140,0
1701129600000,37242.70000000,37343.57000000,37102.47000000,37129.56000000,2560.73388000,1701143999999,95290493.59100610,123171,1134.10422000,42203105.58722790,0
1701144000000,37129.55000000,37152.31000000,36868.41000000,37105.11000000,3974.88240000,1701158399999,147104121.74761350,169847,1907.01199000,70585394.01059340,0
1701158400000,37105.11000000,37262.02000000,36931.10000000,37251.42000000,3375.56303000,1701172799999,125159346.21048130,154514,1558.08616000,57783827.34010050,0
1701172800000,37251.43000000,37568.28000000,37142.81000000,37513.19000000,5331.32867000,1701187199999,199177519.06005880,232919,2740.71017000,102389607.27598240,0
1701187200000,37513.20000000,38377.00000000,37513.19000000,38114.26000000,15744.36369000,1701201599999,598475772.22197940,406689,7961.72684000,302631166.85405000,0
1701201600000,38114.26000000,38284.66000000,37670.97000000,37818.87000000,6557.59500000,1701215999999,249152998.85120650,185639,2866.92260000,108921169.87091750,0
1701216000000,37818.88000000,38093.72000000,37677.96000000,37940.49000000,4909.94962000,1701230399999,186168828.45975590,146074,2242.09846000,85010438.97569800,0
1701230400000,37940.49000000,38235.36000000,37871.10000000,38096.69000000,3802.01892000,1701244799999,144660996.04476620,121256,1819.13342000,69223653.42853900,0
1701244800000,38096.70000000,38450.00000000,37878.17000000,38104.65000000,8172.68572000,1701259199999,311917547.51555760,257727,4020.43515000,153490933.45816340,0
1701259200000,38104.65000000,38280.00000000,37570.00000000,37830.75000000,8504.66640000,1701273599999,322648634.17867350,280074,3865.41275000,146663021.02173880,0
1701273600000,37830.74000000,37932.77000000,37650.00000000,37874.20000000,4122.44625000,1701287999999,155737743.67149450,185688,1946.43288000,73532748.46625820,0
1701288000000,37874.19000000,37884.72000000,37580.85000000,37854.64000000,3482.42416000,1701302399999,131452755.79234240,140534,1695.45207000,63997160.12399940,0
1701302400000,37854.65000000,38051.84000000,37686.84000000,38051.84000000,3089.37694000,1701316799999,116922542.82698800,137717,1619.10636000,61285725.41696140,0
1701316800000,38051.84000000,38145.85000000,37767.11000000,37792.98000000,4973.86237000,1701331199999,188618430.30718780,172066,1874.60872000,71108800.90487760,0
1701331200000,37792.98000000,37905.26000000,37553.60000000,37885.15000000,4251.25810000,1701345599999,160319371.03082040,176586,2053.40091000,77450371.24950770,0
1701345600000,37885.15000000,37966.94000000,37500.00000000,37619.84000000,7175.66836000,1701359999999,270662243.32545700,265529,3419.05548000,128976461.45892650,0
1701360000000,37619.85000000,37807.37000000,37535.00000000,37749.34000000,3031.87293000,1701374399999,114302750.08178350,148258,1458.31290000,54975331.05993870,0
1701374400000,37749.34000000,37809.99000000,37604.00000000,37723.96000000,2218.25277000,1701388799999,83665721.38857740,107635,1059.96987000,39976032.41435150,0
1701388800000,37723.97000000,38082.42000000,37615.86000000,38043.05000000,4933.88554000,1701403199999,186943766.72871030,185371,2515.36574000,95309811.56947500,0
1701403200000,38043.04000000,38348.00000000,38022.67000000,38244.08000000,7011.86412000,1701417599999,267826912.18755820,227518,3365.18442000,128523339.30651790,0
1701417600000,38244.08000000,38833.00000000,38215.00000000,38580.17000000,11354.68130000,1701431999999,437817253.87514100,328186,6343.64326000,244609398.63209550,0
1701432000000,38580.17000000,38629.65000000,38219.00000000,38413.50000000,6597.90033000,1701446399999,253272265.30098100,254287,3132.85649000,120249806.29877800,0
1701446400000,38413.51000000,38999.00000000,38395.00000000,38762.40000000,9900.23568000,1701460799999,383651888.24293850,362557,5175.59617000,200562037.65281710,0
1701460800000,38762.40000000,38900.00000000,38645.00000000,38682.52000000,3617.09627000,1701475199999,140238691.28865240,165498,1875.62693000,72723026.70351170,0
1701475200000,38682.51000000,38795.05000000,38641.61000000,38782.27000000,2236.42755000,1701489599999,86597636.93577790,117796,1066.86334000,41308818.14490010,0
1701489600000,38782.27000000,38826.94000000,38702.47000000,38702.48000000,2038.73396000,1701503999999,79042845.93703060,123698,915.40662000,35489629.10338020,0
1701504000000,38702.48000000,38789.52000000,38651.10000000,38740.16000000,2142.02023000,1701518399999,82973465.51978750,121493,901.04653000,34900270.29944010,0
1701518400000,38740.17000000,38869.36000000,38708.64000000,38811.75000000,3232.54427000,1701532799999,125371484.98593010,150224,1609.96346000,62444316.08074240,0
